sleeve,chosen_fund,rejected_alternatives,tie_break_reason,evidence_reference,selection_status
money market/cash,LionGlobal SGD Money Market A Acc SGD,Fullerton SGD Cash Fund A SGD; Maybank Money Market A Acc SGD; United SGD Money Market A1 SGD,Preferred the explicit accumulation money-market share class with full 120-month coverage over cash-fund alternatives that were either not explicitly accumulation or had shorter public history.,"FSMOne selector filter main=DG, currency=SGD, cash-eligible; chart period=10y downloaded 2026-04-20.",final
short-duration bond,United SGD Fund B Acc SGD,LionGlobal Short Duration Bond A Acc SGD; United SGD Fund Cl A Acc SGD; HGIF - Ultra Short Duration Bond PM3H SGD,"Selected for the combination of full 120-month history, low fee, and clean SGD accumulation structure; other candidates either had shorter public history or weaker fee efficiency.","FSMOne selector filter main=FI, spec=SDMW, currency=SGD, cash-eligible; chart period=10y downloaded 2026-04-20.",final
global investment-grade bond,United High Grade Corporate Bond A Acc SGD,United High Grade Corporate Bond A Acc SGD-H; PIMCO Global Investment Grade Credit Fund Cl E Inc SGD-H; Natixis Loomis Sayles Global Credit RD SGD,Preferred the lowest-fee accumulation class with 120 monthly observations over distribution classes and shorter-history hedged variants.,"FSMOne selector filter main=FI, spec=IG, area=INT, currency=SGD, cash-eligible; chart period=10y downloaded 2026-04-20.",final
higher-yield bond,AB FCP I Global High Yield A2 SGD-H,JPMorgan Investment Funds - Global High Yield Bond A (mth) SGD; Aviva Investors - Global High Yield Bond Ah SGD; Schroder ISF Global High Yield A Dis SGD-H,Preferred the long-history SGD-hedged accumulation class over monthly-distribution alternatives that would complicate price-only return measurement in a Markowitz assignment.,"FSMOne selector filter main=FI, spec=CB, area=INT, currency=SGD, cash-eligible; chart period=10y downloaded 2026-04-20.",final
singapore equity,Amova Singapore Equity SGD (formerly Nikko AM),Schroder Singapore Trust A Acc SGD; LionGlobal Singapore Trust Acc SGD; United Singapore Growth Fund SGD,Selected for the best fee-to-history trade-off among broad Singapore-equity candidates with a full 120-month chart history.,"FSMOne selector filter main=EG, area=FES, currency=SGD, cash-eligible; chart period=10y downloaded 2026-04-20.",final
u.s. equity,Infinity US 500 Stock Index SGD,Fidelity America A-SGD; FTIF - Franklin US Opportunities A Acc SGD; AB SICAV I American Growth A SGD,"Preferred the broad low-fee index-like U.S. exposure over narrower growth, value, or style-tilted active funds.","FSMOne selector filter main=EG, area=NAU, currency=SGD, cash-eligible; chart period=10y downloaded 2026-04-20.",final
global developed equity,Fidelity World A-ACC-SGD,Ninety One Global Strategy Fund - Global Franchise A Acc SGD-H; GS Global CORE Equity Portfolio Acc Close SGD; Allianz Best Styles Global Equity Cl ET Acc H2-SGD,"Preferred the broad world-equity accumulation mandate with full 120-month coverage over more concentrated quality, low-volatility, or partially thematic global strategies.","FSMOne selector filter main=EG, area=INT, currency=SGD, cash-eligible; chart period=10y downloaded 2026-04-20.",final
asia ex-japan equity,Schroder ISF Asian Opportunities A Acc SGD,FSSA Asian Growth A Acc SGD; FTIF - Templeton Asian Growth A Acc SGD; United Asia A Acc SGD,"Selected for its combination of long history, accumulation structure, and larger official fund size than most competing Asia ex-Japan options.","FSMOne selector filter main=EG, area=FE2, currency=SGD, cash-eligible; chart period=10y downloaded 2026-04-20.",final
global REIT,First Sentier Global Property Securities A Acc SGD,Janus Henderson Horizon Global Property Equities A3 SGD; Amova Global Property Securities SGD; HGIF - Global Real Estate Equity AM3O SGD,Preferred the explicit accumulation property-securities class with full 120-month coverage over alternatives with less explicit distribution treatment or shorter usable history.,"FSMOne selector filter main=EG, spec=RE, area=INT, currency=SGD, cash-eligible; chart period=10y downloaded 2026-04-20.",final
gold/real-asset hedge,Blackrock World Gold Fund A2 SGD-H,United Gold and General A Acc SGD; FTIF - Franklin Gold and Precious Metals A (acc) SGD; Schroder ISF Global Gold A Acc SGD-H,Preferred the largest long-history gold-focused share class with SGD hedging over smaller or less scalable alternatives.,"FSMOne selector filter main=EG, area=INT, currency=SGD, cash-eligible; gold-focused candidate isolated from official selector results; chart period=10y downloaded 2026-04-20.",final
